City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,64.45,100,21,2.3,few clouds
1,Taoudenni,ML,22.6783,-3.9836,99.39,22,35,18.34,scattered clouds
2,Yellowknife,CA,62.456,-114.3525,65.28,68,75,10.36,broken clouds
3,Nanortalik,GL,60.1432,-45.2371,48.51,78,44,16.31,scattered clouds
4,Port Elizabeth,ZA,-33.918,25.5701,59.09,82,20,24.16,few clouds
5,Qaanaaq,GL,77.484,-69.3632,39.74,99,100,7.36,light rain
6,Albany,US,42.6001,-73.9662,73.98,84,98,1.01,overcast clouds
7,Broken Hill,AU,-31.95,141.4333,51.51,37,75,11.5,broken clouds
8,Atuona,PF,-9.8,-139.0333,76.86,78,49,12.15,light rain
9,Evensk,RU,61.95,159.2333,44.01,64,74,9.4,broken clouds
10,Mataura,NZ,-46.1927,168.8643,41.49,94,43,3.56,scattered clouds
11,Aranjuez,ES,40.0311,-3.6025,98.08,14,0,17.34,clear sky
12,Bairiki,KI,1.3292,172.9752,80.6,83,20,5.75,few clouds
13,Vuktyl,RU,63.8567,57.3094,46.98,84,77,2.46,broken clouds
14,Vao,NC,-22.6667,167.4833,70.39,69,23,15.32,few clouds
15,Leningradskiy,RU,69.3833,178.4167,32.52,98,100,17.47,light snow
16,Sambava,MG,-14.2667,50.1667,70.12,86,35,7.18,light rain
17,Rikitea,PF,-23.1203,-134.9692,72.21,79,46,9.98,scattered clouds
18,Cherskiy,RU,68.75,161.3,33.73,85,100,17.25,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,69.26,88,75,18.41,light rain
20,Port Alfred,ZA,-33.5906,26.891,59.52,75,6,19.13,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,25.32,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,52.92,82,76,5.75,broken clouds
23,Elizabeth City,US,36.2946,-76.2511,91.02,72,1,4.0,clear sky
24,Aracati,BR,-4.5617,-37.7697,88.74,48,18,12.41,few clouds
25,Lavrentiya,RU,65.5833,-171.0,45.7,79,74,10.07,broken clouds
26,Nichinan,JP,31.6,131.3667,75.81,86,27,3.8,scattered clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,59.02,49,0,1.01,clear sky
28,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,16.11,few clouds
29,Dikson,RU,73.5069,80.5464,43.75,81,100,12.19,overcast clouds
30,Vaini,TO,-21.2,-175.2,68.16,88,40,3.44,scattered clouds
31,Vardo,NO,70.3705,31.1107,48.4,81,75,3.44,broken clouds
32,Yulara,AU,-25.2406,130.9889,53.44,62,0,5.75,clear sky
33,Kapaa,US,22.0752,-159.319,80.92,77,75,3.0,broken clouds
34,Aklavik,CA,68.2191,-135.0107,62.6,82,75,4.61,shower rain
35,Mackay,AU,-21.15,149.2,65.05,100,90,0.0,fog
