City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,54.27,64,75,5.01,broken clouds
1,Cockburn Town,TC,21.4612,-71.1419,81.72,78,100,21.52,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,42.13,63,21,1.99,few clouds
3,Busselton,AU,-33.65,115.3333,66.04,73,29,29.06,scattered clouds
4,Lebu,CL,-37.6167,-73.65,48.63,74,0,6.08,clear sky
5,Zhigansk,RU,66.7697,123.3711,68.7,39,54,7.9,broken clouds
6,Igarka,RU,67.4667,86.5833,62.13,62,100,8.03,overcast clouds
7,Dikson,RU,73.5069,80.5464,39.2,94,67,9.53,broken clouds
8,Atuona,PF,-9.8,-139.0333,77.29,68,61,16.78,broken clouds
9,Umea,SE,63.8284,20.2597,64.33,72,0,3.44,clear sky
10,Goiatuba,BR,-18.0125,-49.3547,53.67,28,37,11.63,scattered clouds
11,Ribeira Grande,PT,38.5167,-28.7,70.27,88,19,8.37,few clouds
12,Isla Vista,US,34.4133,-119.861,81.68,73,1,3.44,clear sky
13,Ushuaia,AR,-54.8,-68.3,46.06,66,90,3.44,overcast clouds
14,Butaritari,KI,3.0707,172.7902,82.62,71,9,9.42,light rain
15,Dinghai,CN,26.2847,119.7936,82.8,85,94,19.64,overcast clouds
16,Chokurdakh,RU,70.6333,147.9167,47.25,56,97,8.52,overcast clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,50.88,69,100,11.39,overcast clouds
18,Nabire,ID,-3.3667,135.4833,83.19,78,38,1.97,scattered clouds
19,Paka,MY,4.6374,103.4368,86.7,63,100,8.21,overcast clouds
20,Merke,KZ,42.8728,73.1786,82.85,28,0,5.53,clear sky
21,Yellowknife,CA,62.456,-114.3525,61.29,94,75,9.22,broken clouds
22,Nikolskoye,RU,59.7035,30.7861,67.89,92,61,6.4,broken clouds
23,Kenai,US,60.5544,-151.2583,63.03,73,20,20.71,few clouds
24,Mata,PT,40.683,-7.4592,64.35,47,0,5.06,clear sky
25,Castro,BR,-24.7911,-50.0119,33.55,74,30,9.53,scattered clouds
26,Avarua,CK,-21.2078,-159.775,66.25,94,90,9.22,moderate rain
27,Visby,SE,57.6409,18.296,66.76,88,20,6.91,few clouds
28,Bethel,US,41.3712,-73.414,70.48,87,75,4.61,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,71.29,89,35,5.97,scattered clouds
30,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,82,83,6.73,broken clouds
31,Panzhihua,CN,26.5851,101.7128,82.18,62,65,0.78,broken clouds
32,Jamestown,US,42.097,-79.2353,67.71,80,1,9.22,clear sky
33,Conil,FR,44.9673,3.7177,46.29,96,2,2.08,clear sky
34,Qaanaaq,GL,77.484,-69.3632,43.0,93,100,1.63,light rain
35,Gondar,ET,12.6,37.4667,58.24,94,100,1.5,overcast clouds
36,Ucluelet,CA,48.9329,-125.5528,62.1,86,0,1.99,clear sky
37,Palu,ID,-0.8917,119.8707,91.17,56,20,4.45,few clouds
38,Mataura,NZ,-46.1927,168.8643,54.48,80,77,4.38,broken clouds
39,Leningradskiy,RU,69.3833,178.4167,33.24,100,100,16.26,snow
40,Zhanaozen,KZ,43.3,52.8,76.35,39,1,16.24,clear sky
41,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,65,0,8.05,clear sky
42,Mareeba,AU,-17.0,145.4333,89.31,34,1,2.89,clear sky
43,Cabedelo,BR,-6.9811,-34.8339,74.07,85,5,10.11,clear sky
44,Kologriv,RU,58.8275,44.3178,61.5,84,99,5.55,overcast clouds
45,Kaseda,JP,31.4167,130.3167,89.85,61,0,5.14,clear sky
46,Baykit,RU,61.67,96.37,78.93,52,59,4.59,broken clouds
47,Saskylakh,RU,71.9167,114.0833,78.39,32,83,14.18,broken clouds
48,Kodiak,US,57.79,-152.4072,58.51,67,90,4.61,overcast clouds
49,Norman Wells,CA,65.282,-126.8329,55.85,93,100,8.14,overcast clouds
50,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,84,20.09,light rain
51,Albany,US,42.6001,-73.9662,64.45,86,45,1.72,scattered clouds
52,Lethem,GY,3.3803,-59.7968,74.35,88,88,4.43,overcast clouds
53,Lahaina,US,20.8783,-156.6825,83.95,87,91,12.82,overcast clouds
54,Khor,RU,47.8861,134.9464,97.54,35,88,7.05,overcast clouds
55,Chapais,CA,49.7834,-74.8492,55.47,69,100,5.03,overcast clouds
56,Touros,BR,-5.1989,-35.4608,74.3,87,14,10.83,few clouds
57,Fortuna,US,40.5982,-124.1573,58.08,84,24,4.27,few clouds
58,Pemberton,CA,50.3164,-122.8027,74.77,48,29,4.45,scattered clouds
59,Bluff,NZ,-46.6,168.3333,54.81,75,81,8.12,broken clouds
60,Hermanus,ZA,-34.4187,19.2345,60.8,72,98,23.0,overcast clouds
61,Punta Arenas,CL,-53.15,-70.9167,46.11,70,0,8.05,clear sky
62,Miastko,PL,54.0028,16.9826,61.52,95,1,6.15,clear sky
63,Mormugao,IN,15.4,73.8,81.03,80,100,18.68,overcast clouds
64,Alice Springs,AU,-23.7,133.8833,81.95,23,4,13.8,clear sky
65,Kaitangata,NZ,-46.2817,169.8464,53.92,77,44,9.1,scattered clouds
66,Hilo,US,19.7297,-155.09,78.53,85,90,9.22,moderate rain
67,Sitka,US,57.0531,-135.33,64.29,63,20,14.97,few clouds
68,Trinidad,BO,-14.8333,-64.9,62.51,20,100,10.89,overcast clouds
69,Cayenne,GF,4.9333,-52.3333,76.08,90,0,0.0,clear sky
70,Praia,CV,14.9215,-23.5087,77.54,65,75,11.5,broken clouds
71,Provideniya,RU,64.3833,-173.3,48.31,81,75,15.66,drizzle
72,Beringovskiy,RU,63.05,179.3167,48.96,69,100,15.55,overcast clouds
73,Malpe,IN,13.35,74.7167,83.5,82,100,12.35,overcast clouds
74,Port Lincoln,AU,-34.7333,135.8667,60.4,52,0,18.72,clear sky
75,Port-Cartier,CA,50.0334,-66.8654,55.74,77,90,6.73,overcast clouds
76,Esperance,AU,-33.8667,121.9,64.9,67,41,25.1,scattered clouds
77,Iglino,RU,54.8324,56.4126,59.09,46,34,8.08,scattered clouds
78,Upernavik,GL,72.7868,-56.1549,47.01,82,100,12.8,overcast clouds
79,Meulaboh,ID,4.1363,96.1285,84.42,65,100,2.01,overcast clouds
80,Kalabo,ZM,-14.97,22.6814,46.81,55,65,6.2,broken clouds
81,Hithadhoo,MV,-0.6,73.0833,80.58,74,100,5.19,moderate rain
82,Piney Green,US,34.716,-77.3202,78.89,94,1,4.61,clear sky
83,Vaini,TO,-21.2,-175.2,73.56,78,20,10.36,few clouds
84,Nemuro,JP,43.3236,145.575,69.17,91,92,12.41,overcast clouds
85,Kapaa,US,22.0752,-159.319,84.18,74,90,4.0,light rain
86,Rikitea,PF,-23.1203,-134.9692,73.31,82,48,11.7,light rain
87,Bredasdorp,ZA,-34.5322,20.0403,60.28,61,69,16.98,broken clouds
88,Coxim,BR,-18.5067,-54.76,56.43,26,90,5.19,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,42.96,64,84,6.2,broken clouds
90,Kemijarvi,FI,66.7131,27.4306,57.15,90,99,7.25,overcast clouds
91,Las Cruces,US,32.3123,-106.7783,83.55,43,1,1.99,clear sky
92,Cape Town,ZA,-33.9258,18.4232,54.88,84,100,4.0,moderate rain
93,Tabou,CI,4.423,-7.3528,75.83,84,71,6.42,light rain
94,Murchison,NZ,-41.8,172.3333,56.61,68,90,1.01,overcast clouds
95,Puerto Gaitan,CO,4.3133,-72.0816,72.57,95,88,1.3,overcast clouds
96,Thompson,CA,55.7435,-97.8558,49.21,69,76,1.99,broken clouds
97,East London,ZA,-33.0153,27.9116,58.69,82,55,9.71,broken clouds
98,Port Alfred,ZA,-33.5906,26.891,54.97,86,17,10.11,few clouds
99,Manhattan Beach,US,33.8847,-118.4109,86.9,81,20,12.66,few clouds
100,Olga,RU,43.7444,135.2892,83.46,55,15,7.29,few clouds
101,Longyearbyen,SJ,78.2186,15.6401,42.64,93,90,5.75,light intensity drizzle
102,Saint George,US,37.1041,-113.5841,95.63,27,1,1.01,clear sky
103,Alyangula,AU,-13.8483,136.4192,81.77,58,84,3.06,broken clouds
104,Trussville,US,33.6198,-86.6089,78.78,92,1,0.0,clear sky
105,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,100,20.22,light rain
106,Deputatskiy,RU,69.3,139.9,52.74,46,43,9.98,scattered clouds
107,Narsaq,GL,60.9167,-46.05,48.42,93,75,3.53,broken clouds
108,Belyy Yar,RU,53.6039,91.3903,66.09,59,20,4.47,few clouds
109,Kalmunai,LK,7.4167,81.8167,86.97,57,99,0.83,overcast clouds
110,Vao,NC,-22.6667,167.4833,69.89,72,80,14.0,broken clouds
111,New Norfolk,AU,-42.7826,147.0587,53.92,44,39,11.48,scattered clouds
112,Talnakh,RU,69.4865,88.3972,61.81,63,100,6.15,overcast clouds
113,Moron,AR,-34.6534,-58.6198,42.98,81,2,3.91,clear sky
114,Dunedin,NZ,-45.8742,170.5036,49.8,75,18,15.01,few clouds
115,Port Elizabeth,ZA,-33.918,25.5701,51.87,86,38,7.02,scattered clouds
116,Boyolangu,ID,-8.1181,111.8935,84.18,60,72,11.23,broken clouds
117,Yulara,AU,-25.2406,130.9889,76.84,25,3,14.97,clear sky
118,Oranjestad,AW,12.524,-70.027,82.35,78,20,20.71,few clouds
