City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,64.45,few clouds,-21.2078,-159.775,Paradise Inn
2,Yellowknife,CA,65.28,broken clouds,62.456,-114.3525,The Explorer Hotel
3,Nanortalik,GL,48.51,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
4,Port Elizabeth,ZA,59.09,few clouds,-33.918,25.5701,39 On Nile Guest House
5,Qaanaaq,GL,39.74,light rain,77.484,-69.3632,Qaanaaq Hotel
7,Broken Hill,AU,51.51,broken clouds,-31.95,141.4333,Royal Exchange Hotel
10,Mataura,NZ,41.49,scattered clouds,-46.1927,168.8643,Ellie's Villa
13,Vuktyl,RU,46.98,broken clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
14,Vao,NC,70.39,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
15,Leningradskiy,RU,32.52,light snow,69.3833,178.4167,Gostinitsa
16,Sambava,MG,70.12,light rain,-14.2667,50.1667,Melrose
17,Rikitea,PF,72.21,scattered clouds,-23.1203,-134.9692,People ThankYou
18,Cherskiy,RU,33.73,overcast clouds,68.75,161.3,Gostinitsa
19,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
20,Port Alfred,ZA,59.52,clear sky,-33.5906,26.891,The Halyards Hotel
21,Punta Arenas,CL,46.51,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
22,Bredasdorp,ZA,52.92,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Mar Del Plata,AR,59.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
30,Vaini,TO,68.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,Vardo,NO,48.4,broken clouds,70.3705,31.1107,Vardø Hotel AS
32,Yulara,AU,53.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
34,Aklavik,CA,62.6,shower rain,68.2191,-135.0107,Aklavik Inn
35,Mackay,AU,65.05,fog,-21.15,149.2,International Lodge Motel
36,Port Augusta,AU,60.94,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
37,Kruisfontein,ZA,56.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
38,Deer Lake,CA,67.86,scattered clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
41,Udayagiri,IN,70.99,overcast clouds,20.1333,84.3833,Hotel Disha
43,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
46,Hobart,AU,44.11,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
49,Isangel,VU,71.24,broken clouds,-19.55,169.2667,Tanna Lodge
50,Jamestown,US,71.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
54,Artvin,TR,69.08,broken clouds,41.1667,41.8333,Koru Butik Otel
55,Barrow,US,53.62,light rain,71.2906,-156.7887,King Eider Inn
58,Zhigansk,RU,55.96,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
59,Ushuaia,AR,47.86,few clouds,-54.8,-68.3,Albatros Hotel
64,Santa Cruz,BO,67.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
65,Te Anau,NZ,43.05,heavy intensity rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
67,Tuktoyaktuk,CA,59.0,light rain,69.4541,-133.0374,End of The Road Ltd.
73,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
74,Castro,BR,47.93,clear sky,-24.7911,-50.0119,CHACARA BAILLY
75,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
80,Hovd,MN,64.47,clear sky,48.0056,91.6419,Hotel Khovd
84,Ludvika,SE,62.6,broken clouds,60.1496,15.1878,Ludvika Stadshotell
85,Hermanus,ZA,54.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
88,Port Lincoln,AU,58.08,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
91,Aktanysh,RU,67.15,light rain,55.7216,54.0829,"Gostinitsa ""Aktanysh"""
93,Edson,CA,71.71,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
95,Busselton,AU,52.09,overcast clouds,-33.65,115.3333,Observatory Guest House
96,Chuy,UY,49.32,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
101,East London,ZA,59.94,clear sky,-33.0153,27.9116,Tu Casa
102,Nemuro,JP,65.07,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
103,Alofi,NU,69.69,broken clouds,-19.0595,-169.9187,Taloa Heights
104,Wiarton,CA,71.96,mist,44.7407,-81.1332,Waterview On The Bay
106,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
108,Narsaq,GL,59.22,broken clouds,60.9167,-46.05,Narsaq Kayak Hostel
109,Cape Town,ZA,57.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
111,Upernavik,GL,42.06,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
112,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
114,Hilo,US,74.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
115,Airai,TL,57.45,clear sky,-8.9266,125.4092,Juvinal Martin
116,Khatanga,RU,66.24,scattered clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
117,Rovaniemi,FI,58.41,broken clouds,66.5,25.7167,Arctic City Hotel
118,Lebu,CL,56.52,clear sky,-37.6167,-73.65,Hostal Las Lilas
119,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Punto de encuentro
122,Santa Maria,BR,51.1,few clouds,-29.6842,-53.8069,Hotel Morotin
123,Kodiak,US,54.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
127,Qianan,CN,73.15,light rain,44.9932,124.0581,Qian'an Hotel
129,Bayanday,RU,53.92,overcast clouds,53.0661,105.5139,Guesthouse Nika
130,Iqaluit,CA,53.33,few clouds,63.7506,-68.5145,Frobisher Inn
131,Rio Grande,BR,53.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
132,Ilam,NP,70.9,overcast clouds,26.9167,87.9167,चियाबारी कटेज
135,Anadyr,RU,39.7,shower sleet,64.75,177.4833,"Гостиница ""Анадырь"""
136,Bakaly,RU,68.77,light rain,55.1789,53.8028,Darina
137,San Rafael,AR,61.43,clear sky,-34.6177,-68.3301,Hotel San Rafael
141,Ancud,CL,42.33,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
142,Arkhangelsk,RU,55.51,light rain,64.5401,40.5433,DVINA HOTEL
144,Richards Bay,ZA,68.41,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
147,Canaries,ES,71.56,few clouds,28.0,-15.5,Villa del Monte
151,Vadso,NO,49.08,broken clouds,70.0744,29.7487,Scandic Vadsø
