City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2021-07-28 00:11:51,-20.4081,57.7,68.25,88,98,16.31
1,Matamoros,MX,2021-07-28 00:10:08,25.5333,-103.25,95.11,25,40,11.5
2,Portland,US,2021-07-28 00:09:07,45.5234,-122.6762,91.53,40,20,1.01
3,Souillac,MU,2021-07-28 00:12:43,-20.5167,57.5167,68.36,90,100,15.32
4,Shimoda,JP,2021-07-28 00:03:43,34.6667,138.95,88.11,76,98,10.76
5,Albany,US,2021-07-28 00:08:55,42.6001,-73.9662,69.46,89,67,1.7
6,Bluff,NZ,2021-07-28 00:12:44,-46.6,168.3333,51.8,71,19,12.55
7,Constitucion,CL,2021-07-28 00:12:44,-35.3333,-72.4167,46.92,73,0,6.73
8,Nikolskoye,RU,2021-07-28 00:12:44,59.7035,30.7861,65.01,66,93,4.54
9,Mar Del Plata,AR,2021-07-28 00:12:45,-38.0023,-57.5575,47.08,66,75,11.99
10,Imeni Morozova,RU,2021-07-28 00:12:45,59.9757,31.0376,65.16,7,78,4.34
11,Mataura,NZ,2021-07-28 00:12:45,-46.1927,168.8643,51.48,77,51,0.78
12,Merauke,ID,2021-07-28 00:12:45,-8.4667,140.3333,80.42,78,83,11.03
13,Bredasdorp,ZA,2021-07-28 00:12:46,-34.5322,20.0403,54.28,69,100,13.04
14,Jolo,PH,2021-07-28 00:12:46,6.05,121.0167,83.14,79,82,9.31
15,Sitka,US,2021-07-28 00:10:05,57.0531,-135.33,60.69,77,75,0.0
16,Valparaiso,CL,2021-07-28 00:08:06,-33.0393,-71.6273,54.48,72,0,3.44
17,Achinsk,RU,2021-07-28 00:12:47,56.2694,90.4993,53.58,88,73,0.76
18,Llangefni,GB,2021-07-28 00:12:47,53.2556,-4.3106,60.66,88,75,10.36
19,Senneterre,CA,2021-07-28 00:12:47,48.3835,-77.2328,59.05,67,86,4.05
20,Khatanga,RU,2021-07-28 00:12:47,71.9667,102.5,80.17,50,69,17.09
21,Ushuaia,AR,2021-07-28 00:12:48,-54.8,-68.3,37.06,93,90,1.14
22,Tual,ID,2021-07-28 00:12:48,-5.6667,132.75,80.87,82,84,16.06
23,Kapaa,US,2021-07-28 00:08:51,22.0752,-159.319,84.52,77,90,1.99
24,Flin Flon,CA,2021-07-28 00:12:48,54.7682,-101.865,73.26,53,81,8.16
25,Puerto Ayora,EC,2021-07-28 00:12:15,-0.7393,-90.3518,72.09,79,9,11.18
26,Busselton,AU,2021-07-28 00:12:49,-33.65,115.3333,49.05,76,97,14.61
27,Saint Anthony,US,2021-07-28 00:12:49,45.0205,-93.218,93.9,58,1,3.0
28,Barrow,US,2021-07-28 00:09:39,71.2906,-156.7887,42.82,87,90,17.27
29,Victoria,HK,2021-07-28 00:10:08,22.2855,114.1577,90.97,87,98,1.01
30,Sola,VU,2021-07-28 00:12:49,-13.8833,167.55,80.17,77,69,23.94
31,Rawson,AR,2021-07-27 23:59:06,-43.3002,-65.1023,42.28,67,48,16.8
32,Sur,OM,2021-07-28 00:12:50,22.5667,59.5289,95.77,43,100,22.91
33,Kruisfontein,ZA,2021-07-28 00:12:50,-34.0033,24.7314,52.88,87,9,16.22
34,New Norfolk,AU,2021-07-28 00:12:17,-42.7826,147.0587,56.91,75,95,3.0
35,Chokurdakh,RU,2021-07-28 00:12:13,70.6333,147.9167,44.67,59,100,11.74
36,Ponta Do Sol,PT,2021-07-28 00:12:50,32.6667,-17.1,74.01,71,8,5.35
37,Rurrenabaque,BO,2021-07-28 00:12:51,-14.4413,-67.5278,66.85,81,40,3.83
38,Leningradskiy,RU,2021-07-28 00:12:51,69.3833,178.4167,34.16,98,100,8.66
39,Laguna,US,2021-07-28 00:12:51,38.421,-121.4238,102.43,24,1,7.0
40,Bambanglipuro,ID,2021-07-28 00:02:56,-7.95,110.2833,75.54,82,72,4.9
41,Arraial Do Cabo,BR,2021-07-28 00:12:52,-22.9661,-42.0278,71.94,79,0,25.66
42,Visby,SE,2021-07-28 00:12:52,57.6409,18.296,62.85,100,36,5.75
43,Taupo,NZ,2021-07-28 00:12:52,-38.6833,176.0833,56.25,61,15,8.19
44,Rudbar,AF,2021-07-28 00:12:52,30.15,62.6,87.15,13,98,20.69
45,Vyartsilya,RU,2021-07-28 00:12:53,62.1764,30.693,58.44,96,38,4.41
46,Yairipok,IN,2021-07-28 00:12:53,24.6667,94.0667,71.33,98,98,2.21
47,Lebu,CL,2021-07-28 00:12:53,-37.6167,-73.65,47.43,79,0,22.44
48,Sambava,MG,2021-07-28 00:12:54,-14.2667,50.1667,66.2,84,48,9.78
49,Kavaratti,IN,2021-07-28 00:12:54,10.5669,72.642,81.7,78,100,19.93
50,Rikitea,PF,2021-07-28 00:12:54,-23.1203,-134.9692,74.53,78,100,13.35
